District;Neighborhood
Bellavista – La Palmera;Bellavista
Bellavista – La Palmera;Heliópolis
Bellavista – La Palmera;Elcano-Los Bermejales
Bellavista – La Palmera;Sector Sur-La Palmera-Reina Mercedes
Bellavista – La Palmera;Pedro Salvador-Las Palmeritas
Bellavista – La Palmera;Barriada de Pineda
Casco Antiguo;El Arenal
Casco Antiguo;Encarnación-Regina
Casco Antiguo;Alfalfa
Casco Antiguo;San Bartolomé
Casco Antiguo;San Lorenzo
Casco Antiguo;San Gil
Casco Antiguo;Museo
Casco Antiguo;Santa Catalina
Casco Antiguo;Santa Cruz, Feria
Casco Antiguo;San Julián
Casco Antiguo;San Vicente
Cerro – Amate;Amate
Cerro – Amate;Juan XXIII
Cerro – Amate;Los Pájaros
Cerro – Amate;Rochelambert
Cerro – Amate;Santa Aurelia – Cantábrico – Atlántico – La Romería
Cerro – Amate;Palmete
Cerro – Amate;El Cerro
Cerro – Amate;La Plata
Este – Alcosa – Torreblanca;Colores-Entreparques
Este – Alcosa – Torreblanca;Torreblanca
Este – Alcosa – Torreblanca;Parque Alcosa-Jardines del Edén
Este – Alcosa – Torreblanca;Palacio de Congresos – Urbadiez – Entrepuentes
Los Remedios;Tablada
Los Remedios;Los Remedios
Macarena;Santa María de Ordas-San Nicolás
Macarena;Pío XII
Macarena;La Barzola
Macarena;El Carmen
Macarena;Cruz Roja-Capuchinos
Macarena;Villegas
Macarena;Santas Justa y Rufina-Parque Miraflores
Macarena;Los Príncipes-La Fontanilla
Macarena;Begoña-Santa Catalina
Macarena;Polígono Norte
Macarena;La Paz-Las Golondrinas
Macarena;La Palmilla-Doctor Marañón
Macarena;Hermandades-La Carrasca
Macarena;Macarena 3 Huertas-Macarena 5
Macarena;El Torrejón
Macarena;El Cerezo
Macarena;Doctor Barraquer-Grupo Renfe-Policlínico
Macarena;Retiro Obrero
Macarena;Cisneo Alto-Santa María de Gracia
Macarena;Campos de Soria
Macarena;León XIII-Los Naranjos
Macarena;El Rocío
Macarena;Pino Flores
Macarena;Las Avenidas
Nervión;Nervión
Nervión;San Bernardo
Nervión;Huerta del Pilar
Nervión;La Florida
Nervión;La Buhaira
Nervión;La Calzada
Nervión;San Roque
Nervión;Ciudad Jardín
Norte;Barriada Pino Montano
Norte;Consolación
Norte;El Gordillo
Norte;Las Almenas
Norte;San Jerónimo
Norte;La Bachillera
Norte;Los Carteros
Norte;San Diego
Norte;Los Arcos
Norte;Las Naciones-Parque Atlántico-Las Dalias
Norte;San Matías
Norte;Aeropuerto Viejo
Norte;Valdezorras
San Pablo-Santa Justa;Árbol Gordo
San Pablo-Santa Justa;La Corza
San Pablo-Santa Justa;Las Huertas
San Pablo-Santa Justa;San Carlos-Tartessos
San Pablo-Santa Justa;San José Obrero
San Pablo-Santa Justa;El Fontanal-María Auxiliadora-Carretera de Carmona
San Pablo-Santa Justa;Santa Clara, Zodiaco
San Pablo-Santa Justa;San Pablo A y B
San Pablo-Santa Justa;San Pablo C
San Pablo-Santa Justa;San Pablo D y E
San Pablo-Santa Justa;Huerta de Santa Teresa
Sur;El Prado-Parque de María Luisa
Sur;Huerta de la Salud
Sur;El Porvenir
Sur;Giralda Sur
Sur;El Plantinar
Sur;Felipe II-Los Diez Mandamientos
Sur;Tabladilla-La Estrella
Sur;Bami
Sur;Tiro de Línea-Santa Genoveva
Sur;La Oliva, Avenida de la Paz
Sur;El Juncal-Híspalis
Sur;Las Letanías
Sur;Polígono Sur
Triana;Triana Casco Antiguo
Triana;Barrio León
Triana;El Tardón-El Carmen
Triana;Triana Este
Triana;Triana Oeste